date,market_title,title,identifier,odd_name,value
2021-07-05T16:29:51.615645,Počet procent,"ANO 2011  (23,995%)",7688,-,1.75
2021-07-05T16:29:51.615645,Počet procent,"ANO 2011  (23,995%)",7688,+,1.95
2021-07-05T16:29:51.615645,Počet procent,"SPD  (9,995%)",7708,-,1.7
2021-07-05T16:29:51.615645,Počet procent,"SPD  (9,995%)",7708,+,2.0
2021-07-05T16:29:51.615645,Počet procent,"Přísaha R.Šlachty (6,495%)",7719,-,1.85
2021-07-05T16:29:51.615645,Počet procent,"Přísaha R.Šlachty (6,495%)",7719,+,1.85
2021-07-05T16:29:51.615645,Počet procent,"KSČM  (5,495%)",7736,-,1.75
2021-07-05T16:29:51.615645,Počet procent,"KSČM  (5,495%)",7736,+,1.96
2021-07-06T04:24:05.667786,Počet procent,"ANO 2011  (23,995%)",7688,-,1.75
2021-07-06T04:24:05.667786,Počet procent,"ANO 2011  (23,995%)",7688,+,1.95
2021-07-06T04:24:05.667786,Počet procent,"SPD  (9,995%)",7708,-,1.7
2021-07-06T04:24:05.667786,Počet procent,"SPD  (9,995%)",7708,+,2.0
2021-07-06T04:24:05.667786,Počet procent,"Přísaha R.Šlachty (6,495%)",7719,-,1.85
2021-07-06T04:24:05.667786,Počet procent,"Přísaha R.Šlachty (6,495%)",7719,+,1.85
2021-07-06T04:24:05.667786,Počet procent,"KSČM  (5,495%)",7736,-,1.75
2021-07-06T04:24:05.667786,Počet procent,"KSČM  (5,495%)",7736,+,1.96
