date,event_info_number,event_name,event_link,odds,datum,odds2
2024-09-12 12:11:18.258524,8984,Válková Helena prof. JUDr. CSc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/valkova-helena-prof-judr-csc--MCZ135708477,1.9,20.09. 14:00,-1.0
2024-09-12 12:11:18.258524,8950,Hraba Zdeněk JUDr. Ing. Ph.D.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/hraba-zdenek-judr-ing-ph-d--MCZ135708473,2.1,20.09. 14:00,-1.0
2024-09-12 12:11:18.258524,8940,Hašek Dominik,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/hasek-dominik-MCZ135708463,6.0,20.09. 14:00,-1.0
2024-09-12 12:11:18.258524,8947,Hořejší Roman,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/horejsi-roman-MCZ135708465,10.0,20.09. 14:00,-1.0
2024-09-12 12:11:18.258524,8956,Roušal Josef,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/rousal-josef-MCZ135708474,13.0,20.09. 14:00,-1.0
2024-09-12 12:11:18.258524,8969,Švojgrová Andrea MUDr.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/svojgrova-andrea-mudr--MCZ135708475,15.0,20.09. 14:00,-1.0
2024-09-12 20:07:30.751272,8984,Válková Helena prof. JUDr. CSc.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/valkova-helena-prof-judr-csc--MCZ135708477,1.9,20.09. 14:00,-1.0
2024-09-12 20:07:30.751272,8950,Hraba Zdeněk JUDr. Ing. Ph.D.,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/hraba-zdenek-judr-ing-ph-d--MCZ135708473,2.1,20.09. 14:00,-1.0
2024-09-12 20:07:30.751272,8940,Hašek Dominik,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/hasek-dominik-MCZ135708463,6.0,20.09. 14:00,-1.0
2024-09-12 20:07:30.751272,8947,Hořejší Roman,/sazeni/politika/volby-do-senatu-pcr-2024-obvod-c-41-benesov-celkove/horejsi-roman-MCZ135708465,10.0,20.09. 14:00,-1.0
