date,event_info_number,event_name,event_link,header1,header2,odd1,odd2,datum
2023-08-14 01:55:37.321242,12712,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152941,- 5.01,+ 5.01,333.0,-1.0,30.09. 07:00
2023-08-14 01:55:37.321242,12714,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152943,- 21.51,+ 21.51,2.08,1.65,30.09. 07:00
2023-08-14 01:55:37.321242,12738,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152946,- 22.51,+ 22.51,1.7,2.0,30.09. 07:00
2023-08-14 01:55:37.321242,12831,Progresívne Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/progresivne-slovensko-MCZ78152953,- 5.01,+ 5.01,90.0,-1.0,30.09. 07:00
2023-08-14 01:55:37.321242,12901,Progresívne Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/progresivne-slovensko-MCZ78152957,- 17.51,+ 17.51,2.01,1.7,30.09. 07:00
2023-08-14 01:55:37.321242,13284,Hlas,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/hlas-MCZ78152974,- 5.01,+ 5.01,9.5,1.02,30.09. 07:00
2023-08-14 01:55:37.321242,13288,Hlas,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/hlas-MCZ78152998,- 10.51,+ 10.51,1.5,2.38,30.09. 07:00
2023-08-14 01:55:37.321242,13472,Hlas,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/hlas-MCZ78153001,- 9.51,+ 9.51,2.01,1.7,30.09. 07:00
2023-08-14 01:55:37.321242,13552,Republika,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/republika-MCZ78153012,- 5.01,+ 5.01,6.0,1.09,30.09. 07:00
2023-08-14 01:55:37.321242,13560,Republika,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/republika-MCZ78153014,- 8.01,+ 8.01,1.78,1.9,30.09. 07:00
2023-08-14 01:55:37.321242,13598,OĽANO A PRIATELIA,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/olano-a-priatelia-MCZ78153062,- 5.01,+ 5.01,6.97,1.06,30.09. 07:00
2023-08-14 01:55:37.321242,13600,OĽANO A PRIATELIA,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/olano-a-priatelia-MCZ78153064,- 7.01,+ 7.01,2.26,1.55,30.09. 07:00
2023-08-14 01:55:37.321242,13656,SaS,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/sas-MCZ78153146,- 5.01,+ 5.01,2.33,1.52,30.09. 07:00
2023-08-14 01:55:37.321242,13724,Sme rodina,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/sme-rodina-MCZ78153234,- 5.01,+ 5.01,2.16,1.6,30.09. 07:00
2023-08-14 01:55:37.321242,14433,KDH,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/kdh-MCZ78153398,- 5.01,+ 5.01,2.01,1.7,30.09. 07:00
2023-08-14 01:55:37.321242,15238,SNS,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/sns-MCZ78153559,- 5.01,+ 5.01,2.68,1.4,30.09. 07:00
2023-08-14 01:55:37.321242,15244,SNS,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/sns-MCZ78153569,- 6.51,+ 6.51,1.7,2.01,30.09. 07:00
2023-08-14 01:55:37.321242,15259,Demokrati,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/demokrati-MCZ78154836,- 5.01,+ 5.01,1.06,6.97,30.09. 07:00
2023-08-14 01:55:37.321242,15260,Demokrati,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/demokrati-MCZ78154873,- 2.51,+ 2.51,1.8,1.88,30.09. 07:00
2023-08-14 01:55:37.321242,15289,Aliancia,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/aliancia-MCZ78155189,- 5.01,+ 5.01,1.08,6.21,30.09. 07:00
2023-08-14 01:55:37.321242,15290,Aliancia,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/aliancia-MCZ78155191,- 3.01,+ 3.01,2.16,1.6,30.09. 07:00
2023-08-14 01:55:37.321242,15339,"Modrí, Most – Híd",/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/modri-most-hid-MCZ78155215,- 5.01,+ 5.01,-1.0,40.0,30.09. 07:00
2023-08-14 01:55:37.321242,15394,"Modrí, Most – Híd",/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/modri-most-hid-MCZ78155217,- 1.51,+ 1.51,1.75,1.94,30.09. 07:00
2023-08-14 01:55:37.321242,15514,ĽS Naše Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/ls-nase-slovensko-MCZ78155336,- 5.01,+ 5.01,-1.0,30.0,30.09. 07:00
2023-08-14 01:55:37.321242,15516,ĽS Naše Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/ls-nase-slovensko-MCZ78155338,- 2.01,+ 2.01,1.65,2.08,30.09. 07:00
2023-08-14 04:07:35.094599,12712,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152941,- 5.01,+ 5.01,333.0,-1.0,30.09. 07:00
2023-08-14 04:07:35.094599,12714,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152943,- 21.51,+ 21.51,2.08,1.65,30.09. 07:00
2023-08-14 04:07:35.094599,12738,Smer,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/smer-MCZ78152946,- 22.51,+ 22.51,1.7,2.0,30.09. 07:00
2023-08-14 04:07:35.094599,12831,Progresívne Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/progresivne-slovensko-MCZ78152953,- 5.01,+ 5.01,90.0,-1.0,30.09. 07:00
2023-08-14 04:07:35.094599,12901,Progresívne Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/progresivne-slovensko-MCZ78152957,- 17.51,+ 17.51,2.01,1.7,30.09. 07:00
2023-08-14 04:07:35.094599,13284,Hlas,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/hlas-MCZ78152974,- 5.01,+ 5.01,9.5,1.02,30.09. 07:00
2023-08-14 04:07:35.094599,13288,Hlas,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/hlas-MCZ78152998,- 10.51,+ 10.51,1.5,2.38,30.09. 07:00
2023-08-14 04:07:35.094599,13472,Hlas,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/hlas-MCZ78153001,- 9.51,+ 9.51,2.01,1.7,30.09. 07:00
2023-08-14 04:07:35.094599,13552,Republika,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/republika-MCZ78153012,- 5.01,+ 5.01,6.0,1.09,30.09. 07:00
