date,market_title,title,identifier,odd_name,value
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Kateřina Konečná,24331,Vítěz,1.4
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Leo Luzar,24334,Vítěz,7.0
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Hana Aulická Jírovcová,24335,Vítěz,8.0
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Petr Šimůnek,24336,Vítěz,13.0
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Václav Ort,24337,Vítěz,14.0
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Marta Semelová,24344,Vítěz,18.0
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Jiří Dolejš,24349,Vítěz,20.0
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Zdeněk Ondráček,24357,Vítěz,22.0
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Stanislav Grospič,24365,Vítěz,22.0
2021-10-15T16:29:42.713157,Vítěz,Následující předseda KSČM po V.Filipovi - Pavel Kováčik,24367,Vítěz,22.0
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Kateřina Konečná,24331,Vítěz,1.4
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Leo Luzar,24334,Vítěz,7.0
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Hana Aulická Jírovcová,24335,Vítěz,8.0
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Petr Šimůnek,24336,Vítěz,13.0
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Václav Ort,24337,Vítěz,14.0
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Marta Semelová,24344,Vítěz,18.0
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Jiří Dolejš,24349,Vítěz,20.0
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Zdeněk Ondráček,24357,Vítěz,22.0
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Stanislav Grospič,24365,Vítěz,22.0
2021-10-16T04:24:56.263182,Vítěz,Následující předseda KSČM po V.Filipovi - Pavel Kováčik,24367,Vítěz,22.0
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Kateřina Konečná,24331,Vítěz,1.4
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Leo Luzar,24334,Vítěz,7.0
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Hana Aulická Jírovcová,24335,Vítěz,8.0
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Petr Šimůnek,24336,Vítěz,13.0
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Václav Ort,24337,Vítěz,14.0
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Marta Semelová,24344,Vítěz,18.0
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Jiří Dolejš,24349,Vítěz,20.0
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Zdeněk Ondráček,24357,Vítěz,22.0
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Stanislav Grospič,24365,Vítěz,22.0
2021-10-16T16:28:20.619089,Vítěz,Následující předseda KSČM po V.Filipovi - Pavel Kováčik,24367,Vítěz,22.0
