date,event_info_number,event_name,event_link,odds,datum,odds2
2024-05-30 23:31:53.707029,20888,Progresívne Slovensko,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/progresivne-slovensko-MCZ109272963,1.84,08.06. 07:00,1.84
2024-05-30 23:31:53.707029,20889,SMER-SD,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/smer-sd-MCZ109272974,1.84,08.06. 07:00,1.84
2024-05-30 23:31:53.707029,20892,HLAS-SD,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/hlas-sd-MCZ109273085,60.00,08.06. 07:00,-1.0
2024-05-30 23:31:53.707029,20894,KDH,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/kdh-MCZ109273118,150.00,08.06. 07:00,-1.0
2024-05-30 23:31:53.707029,20901,SaS,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/sas-MCZ109273125,150.00,08.06. 07:00,-1.0
2024-05-30 23:31:53.707029,20903,Republika,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/republika-MCZ109273131,100.00,08.06. 07:00,-1.0
2024-05-30 23:31:53.707029,20906,SNS,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/sns-MCZ109273138,500.00,08.06. 07:00,-1.0
2024-05-30 23:31:53.707029,20913,Maďarská aliancia,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/madarska-aliancia-MCZ109273387,400.00,08.06. 07:00,-1.0
2024-05-30 23:31:53.707029,20920,"Slovensko, Za ľudí",/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/slovensko-za-ludi-MCZ109273440,300.00,08.06. 07:00,-1.0
2024-05-30 23:31:53.707029,20926,Demokrati,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/demokrati-MCZ109273451,350.00,08.06. 07:00,-1.0
2024-05-30 23:31:53.707029,20929,ĽSNS,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/lsns-MCZ109273529,1 000.00,08.06. 07:00,-1.0
2024-05-31 23:16:19.199228,20888,Progresívne Slovensko,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/progresivne-slovensko-MCZ109272963,1.88,08.06. 07:00,1.80
2024-05-31 23:16:19.199228,20889,SMER-SD,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/smer-sd-MCZ109272974,1.72,08.06. 07:00,1.98
2024-05-31 23:16:19.199228,20892,HLAS-SD,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/hlas-sd-MCZ109273085,70.00,08.06. 07:00,-1.00
2024-05-31 23:16:19.199228,20894,KDH,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/kdh-MCZ109273118,150.00,08.06. 07:00,-1.00
2024-05-31 23:16:19.199228,20901,SaS,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/sas-MCZ109273125,200.00,08.06. 07:00,-1.00
2024-05-31 23:16:19.199228,20903,Republika,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/republika-MCZ109273131,100.00,08.06. 07:00,-1.00
2024-05-31 23:16:19.199228,20906,SNS,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/sns-MCZ109273138,500.00,08.06. 07:00,-1.00
2024-05-31 23:16:19.199228,20913,Maďarská aliancia,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/madarska-aliancia-MCZ109273387,400.00,08.06. 07:00,-1.00
2024-05-31 23:16:19.199228,20920,"Slovensko, Za ľudí",/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/slovensko-za-ludi-MCZ109273440,400.00,08.06. 07:00,-1.00
2024-05-31 23:16:19.199228,20926,Demokrati,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/demokrati-MCZ109273451,400.00,08.06. 07:00,-1.00
2024-05-31 23:16:19.199228,20929,ĽSNS,/sazeni/politika/slovensko-volby-do-evropskeho-parlamentu-2024/lsns-MCZ109273529,1 000.00,08.06. 07:00,-1.00
