date,event_info_number,event_name,event_link,odds,datum,odds2
2024-09-13 12:11:08.944971,10736,FPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/fpo-MSK136353381,1.22,29.09. 07:00,29.09. 07:00
2024-09-13 12:11:08.944971,10737,ÖVP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/ovp-MSK136353383,3.50,29.09. 07:00,29.09. 07:00
2024-09-13 12:11:08.944971,10741,SPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/spo-MSK136353389,30.00,29.09. 07:00,29.09. 07:00
2024-09-13 12:11:08.944971,10744,NEOS,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/neos-MSK136353635,250.00,29.09. 07:00,29.09. 07:00
2024-09-13 12:11:08.944971,10742,GRÜNE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/grune-MSK136353569,350.00,29.09. 07:00,29.09. 07:00
2024-09-13 12:11:08.944971,10753,BIER,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/bier-MSK136353711,600.00,29.09. 07:00,29.09. 07:00
2024-09-13 12:11:08.944971,10754,KPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/kpo-MSK136354168,750.00,29.09. 07:00,29.09. 07:00
2024-09-13 12:11:08.944971,10759,KEINE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/keine-MSK136354183,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-13 12:11:08.944971,10761,LMP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/lmp-MSK136354190,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-13 20:07:45.711469,10736,FPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/fpo-MSK136353381,1.22,29.09. 07:00,29.09. 07:00
2024-09-13 20:07:45.711469,10737,ÖVP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/ovp-MSK136353383,3.50,29.09. 07:00,29.09. 07:00
2024-09-13 20:07:45.711469,10741,SPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/spo-MSK136353389,30.00,29.09. 07:00,29.09. 07:00
2024-09-13 20:07:45.711469,10744,NEOS,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/neos-MSK136353635,250.00,29.09. 07:00,29.09. 07:00
2024-09-13 20:07:45.711469,10742,GRÜNE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/grune-MSK136353569,350.00,29.09. 07:00,29.09. 07:00
2024-09-13 20:07:45.711469,10753,BIER,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/bier-MSK136353711,600.00,29.09. 07:00,29.09. 07:00
2024-09-13 20:07:45.711469,10754,KPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/kpo-MSK136354168,750.00,29.09. 07:00,29.09. 07:00
2024-09-13 20:07:45.711469,10759,KEINE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/keine-MSK136354183,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-13 20:07:45.711469,10761,LMP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/lmp-MSK136354190,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-14 04:08:34.597568,10736,FPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/fpo-MSK136353381,1.22,29.09. 07:00,29.09. 07:00
2024-09-14 04:08:34.597568,10737,ÖVP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/ovp-MSK136353383,3.50,29.09. 07:00,29.09. 07:00
2024-09-14 04:08:34.597568,10741,SPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/spo-MSK136353389,30.00,29.09. 07:00,29.09. 07:00
2024-09-14 04:08:34.597568,10744,NEOS,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/neos-MSK136353635,250.00,29.09. 07:00,29.09. 07:00
2024-09-14 04:08:34.597568,10742,GRÜNE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/grune-MSK136353569,350.00,29.09. 07:00,29.09. 07:00
2024-09-14 04:08:34.597568,10753,BIER,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/bier-MSK136353711,600.00,29.09. 07:00,29.09. 07:00
2024-09-14 04:08:34.597568,10754,KPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/kpo-MSK136354168,750.00,29.09. 07:00,29.09. 07:00
2024-09-14 04:08:34.597568,10759,KEINE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/keine-MSK136354183,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-14 04:08:34.597568,10761,LMP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/lmp-MSK136354190,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-14 12:10:12.861066,10736,FPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/fpo-MSK136353381,1.22,29.09. 07:00,29.09. 07:00
2024-09-14 12:10:12.861066,10737,ÖVP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/ovp-MSK136353383,3.50,29.09. 07:00,29.09. 07:00
2024-09-14 12:10:12.861066,10741,SPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/spo-MSK136353389,30.00,29.09. 07:00,29.09. 07:00
2024-09-14 12:10:12.861066,10744,NEOS,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/neos-MSK136353635,250.00,29.09. 07:00,29.09. 07:00
2024-09-14 12:10:12.861066,10742,GRÜNE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/grune-MSK136353569,350.00,29.09. 07:00,29.09. 07:00
2024-09-14 12:10:12.861066,10753,BIER,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/bier-MSK136353711,600.00,29.09. 07:00,29.09. 07:00
2024-09-14 12:10:12.861066,10754,KPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/kpo-MSK136354168,750.00,29.09. 07:00,29.09. 07:00
2024-09-14 12:10:12.861066,10759,KEINE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/keine-MSK136354183,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-14 12:10:12.861066,10761,LMP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/lmp-MSK136354190,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-14 20:07:31.977631,10736,FPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/fpo-MSK136353381,1.22,29.09. 07:00,29.09. 07:00
2024-09-14 20:07:31.977631,10737,ÖVP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/ovp-MSK136353383,3.50,29.09. 07:00,29.09. 07:00
2024-09-14 20:07:31.977631,10741,SPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/spo-MSK136353389,30.00,29.09. 07:00,29.09. 07:00
2024-09-14 20:07:31.977631,10744,NEOS,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/neos-MSK136353635,250.00,29.09. 07:00,29.09. 07:00
2024-09-14 20:07:31.977631,10742,GRÜNE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/grune-MSK136353569,350.00,29.09. 07:00,29.09. 07:00
2024-09-14 20:07:31.977631,10753,BIER,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/bier-MSK136353711,600.00,29.09. 07:00,29.09. 07:00
2024-09-14 20:07:31.977631,10754,KPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/kpo-MSK136354168,750.00,29.09. 07:00,29.09. 07:00
2024-09-14 20:07:31.977631,10759,KEINE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/keine-MSK136354183,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-14 20:07:31.977631,10761,LMP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/lmp-MSK136354190,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-15 04:08:28.799786,10736,FPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/fpo-MSK136353381,1.22,29.09. 07:00,29.09. 07:00
2024-09-15 04:08:28.799786,10737,ÖVP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/ovp-MSK136353383,3.50,29.09. 07:00,29.09. 07:00
2024-09-15 04:08:28.799786,10741,SPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/spo-MSK136353389,30.00,29.09. 07:00,29.09. 07:00
2024-09-15 04:08:28.799786,10744,NEOS,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/neos-MSK136353635,250.00,29.09. 07:00,29.09. 07:00
2024-09-15 04:08:28.799786,10742,GRÜNE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/grune-MSK136353569,350.00,29.09. 07:00,29.09. 07:00
2024-09-15 04:08:28.799786,10753,BIER,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/bier-MSK136353711,600.00,29.09. 07:00,29.09. 07:00
2024-09-15 04:08:28.799786,10754,KPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/kpo-MSK136354168,750.00,29.09. 07:00,29.09. 07:00
2024-09-15 04:08:28.799786,10759,KEINE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/keine-MSK136354183,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-15 04:08:28.799786,10761,LMP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/lmp-MSK136354190,1 200.00,29.09. 07:00,29.09. 07:00
2024-09-15 12:10:40.675058,10736,FPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/fpo-MSK136353381,1.22,29.09. 07:00,29.09. 07:00
2024-09-15 12:10:40.675058,10737,ÖVP,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/ovp-MSK136353383,3.50,29.09. 07:00,29.09. 07:00
2024-09-15 12:10:40.675058,10741,SPÖ,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/spo-MSK136353389,30.00,29.09. 07:00,29.09. 07:00
2024-09-15 12:10:40.675058,10744,NEOS,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/neos-MSK136353635,250.00,29.09. 07:00,29.09. 07:00
2024-09-15 12:10:40.675058,10742,GRÜNE,/stavkovanie/politika/rakusko-parlamentne-volby-2024-vitaz/grune-MSK136353569,350.00,29.09. 07:00,29.09. 07:00
