date,event_info_number,event_name,event_link,odds,datum,odds2
2024-03-16 04:08:09.661426,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.35,23.03. 07:00,2.94
2024-03-16 12:08:47.539561,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.45,23.03. 07:00,2.55
2024-03-16 20:04:31.956830,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.75,23.03. 07:00,1.96
2024-03-16 22:04:23.384608,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.75,23.03. 07:00,1.96
2024-03-17 00:16:47.736615,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.7,23.03. 07:00,2.03
2024-03-17 02:10:42.531125,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.7,23.03. 07:00,2.03
2024-03-17 04:04:56.871815,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.7,23.03. 07:00,2.03
2024-03-17 06:04:37.557305,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.66,23.03. 07:00,2.09
2024-03-17 08:04:54.901240,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.53,23.03. 07:00,2.34
2024-03-17 10:04:23.083607,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.53,23.03. 07:00,2.34
2024-03-17 12:06:17.769700,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.53,23.03. 07:00,2.34
2024-03-17 14:04:29.391435,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.53,23.03. 07:00,2.34
2024-03-17 16:04:34.152329,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.55,23.03. 07:00,2.29
2024-03-17 18:04:37.257561,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.55,23.03. 07:00,2.29
2024-03-17 20:04:27.715567,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.55,23.03. 07:00,2.29
2024-03-17 22:04:39.395115,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.55,23.03. 07:00,2.29
2024-03-18 00:16:25.228758,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.52,23.03. 07:00,2.3
2024-03-18 02:09:38.202864,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.52,23.03. 07:00,2.3
2024-03-18 04:04:45.264626,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.52,23.03. 07:00,2.3
2024-03-18 06:05:09.739137,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.52,23.03. 07:00,2.3
2024-03-18 08:05:22.696524,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.52,23.03. 07:00,2.3
2024-03-18 10:04:47.095913,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.6,23.03. 07:00,2.19
2024-03-18 12:06:00.139951,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.5,23.03. 07:00,2.41
2024-03-18 14:05:10.094377,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.5,23.03. 07:00,2.41
2024-03-18 16:05:23.745280,24906,Vyšší volební účast,/sazeni/politika/slovensko-prezidentske-volby-2024-vyssi-volebni-ucast/vyssi-volebni-ucast-MCZ104291152,1.57,23.03. 07:00,2.25
