date,title,result,odds,date_bet,identifier
2017-12-13T18:01:03.035097,Miloš Zeman,V,1.63,12.1. 14:00,91040
2017-12-13T18:01:03.035097,Miloš Zeman,1-2,1.01,12.1. 14:00,91040
2017-12-13T18:01:03.035097,Miloš Zeman,1-3,45,12.1. 14:00,91040
2017-12-13T18:01:03.035097,Miloš Zeman,1-4,2.12,12.1. 14:00,91040
2017-12-13T18:01:03.035097,Jiří Drahoš,V,3.4,12.1. 14:00,91041
2017-12-13T18:01:03.035097,Jiří Drahoš,1-2,1.57,12.1. 14:00,91041
2017-12-13T18:01:03.035097,Jiří Drahoš,1-3,2.25,12.1. 14:00,91041
2017-12-13T18:01:03.035097,Jiří Drahoš,1-4,1.22,12.1. 14:00,91041
2017-12-13T18:01:03.035097,Michal Horáček,V,8.75,12.1. 14:00,91042
2017-12-13T18:01:03.035097,Michal Horáček,1-2,4.5,12.1. 14:00,91042
2017-12-13T18:01:03.035097,Michal Horáček,1-3,1.15,12.1. 14:00,91042
2017-12-13T18:01:03.035097,Michal Horáček,1-4,1.03,12.1. 14:00,91042
2017-12-13T18:01:03.035097,Mirek Topolánek,V,8.25,12.1. 14:00,91043
2017-12-13T18:01:03.035097,Mirek Topolánek,1-2,4.25,12.1. 14:00,91043
2017-12-13T18:01:03.035097,Pavel Fischer,V,64,12.1. 14:00,91044
2017-12-13T18:01:03.035097,Pavel Fischer,1-2,30,12.1. 14:00,91044
2017-12-13T18:01:03.035097,Pavel Fischer,1-3,12,12.1. 14:00,91044
2017-12-13T18:01:03.035097,Marek Hilšer,V,125,12.1. 14:00,91045
2017-12-13T18:01:03.035097,Marek Hilšer,1-2,80,12.1. 14:00,91045
2017-12-13T18:01:03.035097,Marek Hilšer,1-3,40,12.1. 14:00,91045
2017-12-13T18:01:03.035097,Marek Hilšer,1-4,14,12.1. 14:00,91045
2017-12-13T18:01:03.035097,Vratislav Kulhánek,V,105,12.1. 14:00,91046
2017-12-13T18:01:03.035097,Vratislav Kulhánek,1-2,70,12.1. 14:00,91046
2017-12-13T18:01:03.035097,Vratislav Kulhánek,1-3,35,12.1. 14:00,91046
2017-12-13T18:01:03.035097,Vratislav Kulhánek,1-4,12,12.1. 14:00,91046
2017-12-13T18:01:03.035097,Jiří Hynek,V,145,12.1. 14:00,91047
2017-12-13T18:01:03.035097,Jiří Hynek,1-2,90,12.1. 14:00,91047
2017-12-13T18:01:03.035097,Jiří Hynek,1-3,45,12.1. 14:00,91047
2017-12-13T18:01:03.035097,Jiří Hynek,1-4,17,12.1. 14:00,91047
2017-12-13T18:01:03.035097,Petr Hannig,V,675,12.1. 14:00,91048
2017-12-13T18:01:03.035097,Petr Hannig,1-2,330,12.1. 14:00,91048
2017-12-13T18:01:03.035097,Petr Hannig,1-3,150,12.1. 14:00,91048
2017-12-13T18:01:03.035097,Petr Hannig,1-4,50,12.1. 14:00,91048
2017-12-14T06:01:03.745776,Miloš Zeman,V,1.63,12.1. 14:00,91040
2017-12-14T06:01:03.745776,Miloš Zeman,1-2,1.01,12.1. 14:00,91040
2017-12-14T06:01:03.745776,Miloš Zeman,1-3,45,12.1. 14:00,91040
2017-12-14T06:01:03.745776,Miloš Zeman,1-4,2.12,12.1. 14:00,91040
2017-12-14T06:01:03.745776,Jiří Drahoš,V,3.4,12.1. 14:00,91041
2017-12-14T06:01:03.745776,Jiří Drahoš,1-2,1.5,12.1. 14:00,91041
2017-12-14T06:01:03.745776,Jiří Drahoš,1-3,2.25,12.1. 14:00,91041
2017-12-14T06:01:03.745776,Jiří Drahoš,1-4,1.22,12.1. 14:00,91041
2017-12-14T06:01:03.745776,Michal Horáček,V,8.75,12.1. 14:00,91042
2017-12-14T06:01:03.745776,Michal Horáček,1-2,4.5,12.1. 14:00,91042
2017-12-14T06:01:03.745776,Michal Horáček,1-3,1.15,12.1. 14:00,91042
2017-12-14T06:01:03.745776,Michal Horáček,1-4,1.03,12.1. 14:00,91042
2017-12-14T06:01:03.745776,Mirek Topolánek,V,8.25,12.1. 14:00,91043
2017-12-14T06:01:03.745776,Mirek Topolánek,1-2,4.25,12.1. 14:00,91043
2017-12-14T06:01:03.745776,Pavel Fischer,V,64,12.1. 14:00,91044
2017-12-14T06:01:03.745776,Pavel Fischer,1-2,30,12.1. 14:00,91044
2017-12-14T06:01:03.745776,Pavel Fischer,1-3,12,12.1. 14:00,91044
2017-12-14T06:01:03.745776,Marek Hilšer,V,125,12.1. 14:00,91045
2017-12-14T06:01:03.745776,Marek Hilšer,1-2,80,12.1. 14:00,91045
2017-12-14T06:01:03.745776,Marek Hilšer,1-3,40,12.1. 14:00,91045
2017-12-14T06:01:03.745776,Marek Hilšer,1-4,14,12.1. 14:00,91045
2017-12-14T06:01:03.745776,Vratislav Kulhánek,V,105,12.1. 14:00,91046
2017-12-14T06:01:03.745776,Vratislav Kulhánek,1-2,70,12.1. 14:00,91046
2017-12-14T06:01:03.745776,Vratislav Kulhánek,1-3,35,12.1. 14:00,91046
2017-12-14T06:01:03.745776,Vratislav Kulhánek,1-4,12,12.1. 14:00,91046
2017-12-14T06:01:03.745776,Jiří Hynek,V,145,12.1. 14:00,91047
2017-12-14T06:01:03.745776,Jiří Hynek,1-2,90,12.1. 14:00,91047
2017-12-14T06:01:03.745776,Jiří Hynek,1-3,45,12.1. 14:00,91047
2017-12-14T06:01:03.745776,Jiří Hynek,1-4,17,12.1. 14:00,91047
2017-12-14T06:01:03.745776,Petr Hannig,V,675,12.1. 14:00,91048
2017-12-14T06:01:03.745776,Petr Hannig,1-2,330,12.1. 14:00,91048
2017-12-14T06:01:03.745776,Petr Hannig,1-3,150,12.1. 14:00,91048
2017-12-14T06:01:03.745776,Petr Hannig,1-4,50,12.1. 14:00,91048
2017-12-14T18:01:03.947770,Miloš Zeman,V,1.63,12.1. 14:00,91040
2017-12-14T18:01:03.947770,Miloš Zeman,1-2,1.01,12.1. 14:00,91040
2017-12-14T18:01:03.947770,Miloš Zeman,1-3,45,12.1. 14:00,91040
2017-12-14T18:01:03.947770,Miloš Zeman,1-4,2.12,12.1. 14:00,91040
2017-12-14T18:01:03.947770,Jiří Drahoš,V,3.4,12.1. 14:00,91041
2017-12-14T18:01:03.947770,Jiří Drahoš,1-2,1.45,12.1. 14:00,91041
2017-12-14T18:01:03.947770,Jiří Drahoš,1-3,2.25,12.1. 14:00,91041
2017-12-14T18:01:03.947770,Jiří Drahoš,1-4,1.22,12.1. 14:00,91041
2017-12-14T18:01:03.947770,Michal Horáček,V,8.75,12.1. 14:00,91042
2017-12-14T18:01:03.947770,Michal Horáček,1-2,4.5,12.1. 14:00,91042
2017-12-14T18:01:03.947770,Michal Horáček,1-3,1.15,12.1. 14:00,91042
2017-12-14T18:01:03.947770,Michal Horáček,1-4,1.03,12.1. 14:00,91042
2017-12-14T18:01:03.947770,Mirek Topolánek,V,8.25,12.1. 14:00,91043
2017-12-14T18:01:03.947770,Mirek Topolánek,1-2,4.25,12.1. 14:00,91043
2017-12-14T18:01:03.947770,Pavel Fischer,V,64,12.1. 14:00,91044
2017-12-14T18:01:03.947770,Pavel Fischer,1-2,30,12.1. 14:00,91044
2017-12-14T18:01:03.947770,Pavel Fischer,1-3,12,12.1. 14:00,91044
2017-12-14T18:01:03.947770,Marek Hilšer,V,125,12.1. 14:00,91045
2017-12-14T18:01:03.947770,Marek Hilšer,1-2,80,12.1. 14:00,91045
2017-12-14T18:01:03.947770,Marek Hilšer,1-3,40,12.1. 14:00,91045
2017-12-14T18:01:03.947770,Marek Hilšer,1-4,14,12.1. 14:00,91045
2017-12-14T18:01:03.947770,Vratislav Kulhánek,V,105,12.1. 14:00,91046
2017-12-14T18:01:03.947770,Vratislav Kulhánek,1-2,70,12.1. 14:00,91046
2017-12-14T18:01:03.947770,Vratislav Kulhánek,1-3,35,12.1. 14:00,91046
2017-12-14T18:01:03.947770,Vratislav Kulhánek,1-4,12,12.1. 14:00,91046
2017-12-14T18:01:03.947770,Jiří Hynek,V,145,12.1. 14:00,91047
2017-12-14T18:01:03.947770,Jiří Hynek,1-2,90,12.1. 14:00,91047
2017-12-14T18:01:03.947770,Jiří Hynek,1-3,45,12.1. 14:00,91047
2017-12-14T18:01:03.947770,Jiří Hynek,1-4,17,12.1. 14:00,91047
2017-12-14T18:01:03.947770,Petr Hannig,V,675,12.1. 14:00,91048
2017-12-14T18:01:03.947770,Petr Hannig,1-2,330,12.1. 14:00,91048
2017-12-14T18:01:03.947770,Petr Hannig,1-3,150,12.1. 14:00,91048
2017-12-14T18:01:03.947770,Petr Hannig,1-4,50,12.1. 14:00,91048
