date,Alexandria Ocasio-Cortez,Andrew Cuomo,Arnold Schwarzenegger,Bernie Sanders,Bill Gates,Chelsea Clinton,Cornel West,Dean Phillips,Donald Trump,Donald Trump Jr.,Dwayne Johnson,Elizabeth Warren,Eric Trump,Gavin Newsom,George Clooney,Glenn Youngkin,Hillary Clinton,Ivanka Trump,Joe Biden,Joe Kennedy III,Joe Manchin,John Kasich,Kamala Harris,Kanye West,Marco Rubio,Mark Zuckerberg,Meghan Markle,Michael Bloomberg,Michelle Obama,Mike Pence,Mike Pompeo,Nikki Haley,Oprah Winfrey,Pete Buttigieg,Robert F. Kennedy Jr.,Ron DeSantis,Ted Cruz,Tim Scott,Vivek Ramaswamy,muž,žena
2023-05-22,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,20.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,30.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
2023-05-23,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,20.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,30.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
2023-05-24,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,20.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,30.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
2023-05-25,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,20.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,30.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
2023-05-26,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,20.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,30.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
2023-05-27,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,20.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,30.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
2023-05-28,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,20.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,30.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
2023-05-29,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,33.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
2023-05-30,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,33.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
2023-05-31,125.0,300.0,,175.0,140.0,175.0,,,3.0,325.0,250.0,100.0,300.0,40.0,200.0,,95.0,400.0,2.6,100.0,,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,,33.0,175.0,40.0,15.0,6.0,125.0,,,1.1,6.0
