date,BIER,FPÖ,GRÜNE,KEINE,KPÖ,LMP,NEOS,SPÖ,ÖVP
2024-09-13,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.5
2024-09-14,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.5
2024-09-15,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.5
2024-09-16,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.5
2024-09-17,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.5
2024-09-18,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.5
2024-09-19,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.5
2024-09-20,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.5
2024-09-21,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.266666666666667
2024-09-22,600.0,1.22,350.0,1200.0,750.0,1200.0,250.0,30.0,3.15
