date,Aliancia,Demokrati,Hlas,KDH,"Modrí, Most – Híd",OĽANO A PRIATELIA,Progresívne Slovensko,Republika,SNS,SaS,Sme rodina,Smer,ĽS Naše Slovensko
2023-07-26,500.0,300.0,1.28,70.0,700.0,7.0,1.05,4.5,90.0,45.0,45.0,1.01,700.0
2023-07-27,500.0,300.0,1.3050000000000002,70.0,700.0,7.5,1.04,4.25,90.0,45.0,45.0,1.01,700.0
2023-07-28,500.0,300.0,1.33,70.0,675.0,8.5,1.03,4.0,90.0,45.0,45.0,1.01,700.0
2023-07-29,500.0,300.0,1.2650000000000001,70.0,650.0,9.5,1.04,4.1,90.0,45.0,45.0,1.01,700.0
2023-07-30,500.0,300.0,1.22,70.0,650.0,10.0,1.05,4.2,90.0,45.0,45.0,1.01,700.0
2023-07-31,500.0,300.0,1.22,70.0,650.0,10.0,1.05,4.0,90.0,45.0,45.0,1.01,700.0
2023-08-01,500.0,300.0,1.22,70.0,650.0,8.0,1.05,4.5,75.0,45.0,45.0,1.01,725.0
2023-08-02,500.0,300.0,1.22,70.0,650.0,6.0,1.05,5.0,60.0,45.0,45.0,1.01,750.0
2023-08-03,500.0,300.0,1.22,60.0,650.0,6.0,1.05,5.0,55.0,37.5,39.0,1.01,750.0
2023-08-04,500.0,300.0,1.2349999999999999,50.0,650.0,5.5,1.05,5.0,40.0,27.5,34.0,1.01,750.0
2023-08-05,500.0,300.0,1.25,50.0,650.0,5.0,1.05,5.0,30.0,25.0,35.0,1.01,750.0
