date,Aliancia - Demokrati,Demokrati - ĽS Naše Slovensko,Hlas - OĽANO A PRIATELIA,Hlas - Republika,KDH - Demokrati,KDH - SNS,OĽANO A PRIATELIA - KDH,OĽANO A PRIATELIA - SNS,OĽANO A PRIATELIA - SaS,OĽANO A PRIATELIA - Sme rodina,Progresívne Slovensko - Hlas,Progresívne Slovensko - OĽANO A PRIATELIA,Republika - KDH,Republika - OĽANO A PRIATELIA,Republika - SNS,Republika - SaS,Republika - Sme rodina,SNS - Demokrati,SaS - Demokrati,SaS - KDH,SaS - SNS,SaS - Sme rodina,Sme rodina - Aliancia,Sme rodina - Demokrati,Sme rodina - KDH,Sme rodina - SNS,Smer - Hlas,Smer - OĽANO A PRIATELIA,Smer - Progresívne Slovensko,"ĽS Naše Slovensko - Modrí, Most – Híd"
2023-07-28,1.75,,1.17,1.4,,1.8,1.3,1.3,1.48,1.42,1.3,,,1.32,,1.25,1.22,,,1.83,1.62,1.82,,,1.8,1.65,1.17,,1.4,1.72
2023-07-29,1.75,,1.15,1.35,,1.8,1.3,1.3,1.48,1.45,1.3250000000000002,,,1.32,,1.225,1.21,,,1.83,1.62,1.82,,,1.8,1.65,1.17,,1.4,1.65
2023-07-30,1.75,,1.15,1.2650000000000001,,1.8,1.3,1.3,1.48,1.45,1.3,,,1.32,,1.2,1.2,,,1.83,1.62,1.82,,,1.8,1.65,1.17,,1.4,1.65
2023-07-31,1.75,,1.15,1.25,,1.8,1.3,1.3,1.48,1.45,1.3,,,1.32,,1.2,1.2,,,1.83,1.62,1.82,,,1.8,1.65,1.14,,1.4,1.65
2023-08-01,1.75,,1.135,1.25,,1.8,1.3,1.3250000000000002,1.49,1.45,1.26,,,1.4100000000000001,,1.225,1.2,,,1.83,1.65,1.82,,,1.8399999999999999,1.765,1.15,,1.4,1.765
2023-08-02,1.775,,1.12,1.25,,1.8,1.3,1.35,1.5,1.45,1.22,,,1.5,,1.25,1.2,,,1.83,1.68,1.82,,,1.88,1.88,1.16,,1.4,1.88
2023-08-03,1.8,,1.12,1.25,,1.8,1.3,1.35,1.5,1.45,1.22,,,1.5,,1.25,1.2,,,1.83,1.68,1.82,,,1.88,1.88,1.16,,1.375,1.88
2023-08-04,1.725,,1.145,1.275,,1.87,1.29,1.35,1.5,1.45,1.2349999999999999,,,1.5,,1.25,1.2,,,1.74,1.7149999999999999,1.76,,,1.8399999999999999,1.93,1.1400000000000001,,1.375,1.9449999999999998
2023-08-05,1.6749999999999998,,1.21,1.315,,1.94,1.28,1.35,1.5,1.45,1.2,,,1.525,,1.25,1.19,,,1.65,1.725,1.7,,,1.8,1.98,1.11,,1.4,1.9049999999999998
2023-08-06,1.7,,1.25,1.33,,1.94,1.28,1.35,1.5,1.4249999999999998,1.15,,,1.55,,1.25,1.18,,,1.65,1.65,1.7,,,1.8,1.98,1.1,,1.4,1.8
2023-08-07,1.7,,1.21,1.33,,1.94,1.28,1.35,1.5,1.4,1.15,,,1.55,,1.25,1.18,,,1.65,1.685,1.6600000000000001,,,1.8,1.98,1.1,,1.4,1.8
2023-08-08,1.7,,1.22,1.33,,1.85,1.28,1.35,1.5,1.4,1.15,,,1.55,,1.25,1.18,,,1.65,1.72,1.62,,,1.8,1.98,1.1,,1.42,1.8
2023-08-09,1.65,,1.355,1.375,,1.85,1.28,1.35,1.5,1.4,1.15,,,1.685,,1.25,1.17,,,1.65,1.72,1.585,,,1.8,1.98,1.09,,1.4649999999999999,1.8
2023-08-10,1.53,,1.39,1.375,,1.965,1.2650000000000001,1.35,1.5,1.39,1.125,,,1.775,,1.2650000000000001,1.185,,,1.65,1.77,1.55,,,1.8,1.98,1.065,,1.4649999999999999,1.775
2023-08-11,1.53,,1.4,1.35,,2.08,1.25,1.35,1.5,1.38,1.1,,,1.8,,1.28,1.2,,,1.65,1.82,1.55,,,1.8,1.98,1.05,,1.45,1.7
2023-08-12,1.53,,1.4,1.3,,2.08,1.25,1.35,1.5,1.38,1.105,,,1.8,,1.28,1.2,,,1.65,1.82,1.55,,,1.8,1.98,1.05,,1.45,1.6
2023-08-13,1.53,,1.3999999999999997,1.3,,2.08,1.25,1.3500000000000003,1.5,1.38,1.11,,,1.7466666666666668,,1.28,1.2,,,1.6499999999999997,1.82,1.55,,,1.8,1.9799999999999998,1.05,,1.45,1.6000000000000003
2023-08-14,1.5,,1.5,1.31,,2.08,1.25,1.3566666666666667,1.42,1.33,1.11,,,1.8333333333333333,,1.28,1.2,,,1.6499999999999997,1.8399999999999999,1.55,,,1.8,1.9799999999999998,1.03,,1.45,1.6000000000000003
2023-08-15,1.5,,1.5,1.33,,2.08,1.25,1.37,1.42,1.33,1.11,,,1.8,,1.28,1.2,,,1.65,1.88,1.55,,,1.8,1.98,1.03,,1.45,1.6
2023-08-16,1.5,,1.5,1.35,,2.08,1.25,1.385,1.4,1.33,1.11,,,1.8,,1.28,1.2,,,1.65,1.88,1.55,,,1.8,1.98,1.03,,1.45,1.6
2023-08-17,1.5,,1.5,1.36,,2.12,1.25,1.4,1.38,1.33,1.11,,,1.87,,1.3,1.2,,,1.65,1.88,1.5750000000000002,,,1.87,1.98,1.03,,1.45,1.6
2023-08-18,1.55,,1.33,1.28,,1.94,1.3,1.4,1.42,1.3,1.11,,,1.98,1.4,1.32,1.3,,,1.65,1.72,1.45,,,1.94,1.98,1.03,,1.5,1.8
2023-08-19,1.55,,1.33,1.28,,1.94,1.3,1.4,1.42,1.3,1.11,,,1.98,1.4,1.32,1.3,,,1.65,1.72,1.48,,,1.94,1.98,1.03,,1.5,1.8
2023-08-20,1.55,,1.2650000000000001,1.25,,1.795,1.425,1.375,1.47,1.3,1.155,,,1.8900000000000001,1.35,1.335,1.275,,,1.685,1.6600000000000001,1.4649999999999999,,,2.05,1.98,1.03,,1.475,1.76
2023-08-21,1.55,1.5,1.2,1.22,,1.65,1.55,1.35,1.52,1.3,1.2,,1.35,1.8,1.3,1.35,1.25,,,1.72,1.6,1.45,,,2.16,1.98,1.03,1.01,1.45,1.72
2023-08-22,1.55,1.5,1.2,1.22,,1.65,1.55,1.35,1.52,1.3,1.2,,1.35,1.8,1.3,1.35,1.25,,,1.72,1.6,1.45,,,2.16,1.98,1.03,1.01,1.45,1.72
2023-08-23,1.5,1.5,1.2,1.22,,1.65,1.55,1.35,1.45,1.3,1.2,1.03,1.35,1.8,1.3,1.35,1.25,,,1.72,1.6,1.45,,,2.16,1.98,1.03,1.01,1.45,1.72
2023-08-24,1.49,1.525,1.2,1.21,,1.6749999999999998,1.55,1.35,1.475,1.3,1.225,1.03,1.35,1.775,1.31,1.4,1.2650000000000001,,,1.71,1.6,1.435,,,2.16,1.98,1.03,1.01,1.45,1.72
2023-08-25,1.48,1.55,1.2,1.2,,1.75,1.55,1.35,1.5,1.3,1.25,1.03,1.35,1.7349999999999999,1.32,1.45,1.28,,,1.6749999999999998,1.6,1.41,,,2.16,2.0300000000000002,1.025,1.01,1.4249999999999998,1.7349999999999999
2023-08-26,1.48,1.55,1.2,1.2,,1.8,1.55,1.35,1.5,1.3,1.23,1.03,1.35,1.72,1.32,1.45,1.28,,,1.65,1.6,1.4,,,2.16,2.08,1.02,1.01,1.4,1.75
2023-08-27,1.48,1.55,1.2,1.2,,1.8,1.55,1.35,1.5,1.3,1.23,1.03,1.35,1.6949999999999998,1.32,1.45,1.28,,,1.65,1.6,1.4,,,2.16,2.08,1.02,1.01,1.4,1.75
2023-08-28,1.48,1.55,1.2,1.2,,1.8,1.55,1.35,1.5,1.3,1.23,1.03,1.35,1.67,1.32,1.45,1.28,,,1.65,1.6,1.385,,,2.16,2.08,1.02,1.01,1.4,1.75
2023-08-29,1.48,1.55,1.2,1.2,,1.8,1.55,1.35,1.5,1.3,1.23,1.03,1.35,1.67,1.32,1.45,1.28,,,1.65,1.6,1.37,,,2.16,2.08,1.02,1.01,1.4,1.75
2023-08-30,1.48,1.55,1.2,1.2,,1.8,1.5150000000000001,1.35,1.5,1.3,1.23,1.03,1.35,1.67,1.32,1.45,1.28,,,1.65,1.6,1.37,,,2.16,2.08,1.02,1.01,1.36,1.75
2023-08-31,1.48,1.5150000000000001,1.2149999999999999,1.2,,1.8,1.48,1.35,1.5,1.3,1.23,1.03,1.35,1.645,1.32,1.45,1.28,,,1.65,1.6,1.37,,,2.16,2.08,1.02,1.01,1.36,1.75
2023-09-01,1.6400000000000001,1.3900000000000001,1.2,1.2,,1.85,1.48,1.35,1.5,1.3,1.2149999999999999,1.03,1.35,1.62,1.32,1.45,1.28,,,1.6,1.6,1.35,,,2.16,2.08,1.02,1.01,1.36,1.725
2023-09-03,1.94,1.35,1.37,1.4,,1.9,1.4,1.35,1.45,1.33,1.12,1.03,1.35,1.6,1.35,1.4,1.3,,,1.55,1.7,1.4,,,2.08,2.01,1.02,1.01,1.5,1.6
2023-09-04,1.94,1.3,1.36,1.3399999999999999,,1.94,1.4,1.385,1.4649999999999999,1.315,1.12,1.03,1.35,1.5750000000000002,1.35,1.46,1.3,,,1.5150000000000001,1.725,1.375,,,2.08,2.085,1.02,1.01,1.48,1.6
2023-09-05,1.94,1.25,1.35,1.28,,1.98,1.4,1.42,1.48,1.25,1.12,1.03,1.35,1.55,1.35,1.52,1.25,,,1.48,1.75,1.33,,,2.08,2.26,1.02,1.01,1.48,1.6
2023-09-06,1.94,1.2349999999999999,1.4,1.2650000000000001,1.12,1.98,1.4,1.42,1.48,1.225,1.12,1.04,1.35,1.585,1.35,1.52,1.25,1.2,1.06,1.4649999999999999,1.7149999999999999,1.315,1.5,1.58,2.08,2.26,1.02,1.01,1.49,1.6
2023-09-07,1.9749999999999999,1.22,1.45,1.25,1.21,1.98,1.375,1.42,1.4649999999999999,1.2,1.11,1.05,1.35,1.6600000000000001,1.35,1.52,1.25,1.21,1.07,1.45,1.68,1.3,1.5,1.615,2.08,2.26,1.02,1.01,1.55,1.6
2023-09-08,2.01,1.22,1.45,1.25,1.22,1.9466666666666663,1.3499999999999999,1.42,1.45,1.2,1.0999999999999999,1.05,1.3499999999999999,1.7666666666666666,1.3499999999999999,1.5199999999999998,1.25,1.22,1.08,1.45,1.68,1.3,1.5,1.6500000000000001,2.08,2.3799999999999994,1.0199999999999998,1.01,1.5999999999999999,1.5999999999999999
2023-09-09,2.0099999999999993,1.2200000000000002,1.4791666666666663,1.2708333333333337,1.2200000000000002,1.9400000000000004,1.3499999999999999,1.42,1.45,1.1775,1.0999999999999999,1.0500000000000003,1.3499999999999999,1.8008333333333326,1.3499999999999999,1.5199999999999998,1.25,1.2200000000000002,1.08,1.45,1.68,1.3000000000000003,1.4874999999999998,1.6125,2.0799999999999996,2.3799999999999994,1.0199999999999998,1.01,1.6000000000000003,1.6000000000000003
2023-09-10,2.0099999999999993,1.2200000000000002,1.5199999999999998,1.3000000000000003,1.2200000000000002,1.9400000000000004,1.3499999999999999,1.42,1.4499999999999997,1.17,1.0999999999999999,1.0500000000000003,1.3499999999999999,1.8436363636363635,1.3499999999999999,1.5199999999999998,1.25,1.2200000000000002,1.08,1.4499999999999997,1.68,1.3000000000000003,1.4499999999999997,1.5,2.0799999999999996,2.3799999999999994,1.0199999999999998,1.01,1.6,1.6
2023-09-11,2.0099999999999993,1.2200000000000002,1.5199999999999998,1.3000000000000003,1.2200000000000002,1.9400000000000004,1.3499999999999999,1.42,1.45,1.17,1.0999999999999999,1.0500000000000003,1.3499999999999999,1.8799999999999997,1.3499999999999999,1.5199999999999998,1.25,1.2200000000000002,1.08,1.45,1.68,1.3000000000000003,1.45,1.5,2.0799999999999996,2.3799999999999994,1.0199999999999998,1.01,1.6000000000000003,1.6000000000000003
2023-09-12,2.0099999999999993,1.2200000000000002,1.4666666666666666,1.3000000000000003,1.2200000000000002,1.9400000000000004,1.3499999999999999,1.42,1.45,1.17,1.0999999999999999,1.0500000000000003,1.3499999999999999,1.8799999999999997,1.3499999999999999,1.5199999999999998,1.25,1.2200000000000002,1.08,1.45,1.666666666666667,1.3125,1.4324999999999999,1.4633333333333332,2.0799999999999996,2.3799999999999994,1.0199999999999998,1.01,1.6166666666666665,1.6000000000000003
2023-09-13,2.0099999999999993,1.255,1.45,1.2866666666666664,1.2200000000000002,1.9400000000000004,1.3499999999999999,1.42,1.45,1.17,1.0999999999999999,1.0533333333333335,1.3499999999999999,1.8799999999999997,1.3499999999999999,1.5199999999999998,1.25,1.2200000000000002,1.08,1.45,1.6000000000000003,1.33,1.3799999999999997,1.45,2.0799999999999996,2.3799999999999994,1.0133333333333334,1.01,1.683333333333333,1.6000000000000003
2023-09-14,2.0499999999999994,1.28,1.4249999999999998,1.28,1.2633333333333334,2.013333333333333,1.3499999999999999,1.4799999999999998,1.475,1.1866666666666665,1.09,1.0533333333333335,1.3333333333333333,1.815,1.3833333333333335,1.4966666666666668,1.25,1.22,1.08,1.5142857142857142,1.6933333333333334,1.3533333333333335,1.3699999999999999,1.4833333333333334,2.033333333333333,2.5428571428571423,1.01,1.01,1.6749999999999998,1.6
2023-09-26,2.105714285714286,1.175714285714286,1.236,1.1,1.2892857142857146,2.3728571428571423,1.2300000000000002,1.3299999999999996,1.25,1.0693333333333335,1.0500000000000003,1.0214285714285711,1.25,2.0299999999999994,1.35,1.3299999999999996,1.1200000000000006,1.1414285714285715,1.2200000000000002,1.6266666666666663,2.014666666666666,1.3999999999999997,1.4071428571428568,1.4464285714285714,2.4573333333333327,3.1499999999999995,1.0146666666666666,1.01,1.8586666666666665,1.4214285714285713
2023-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.905,
2023-09-29,2.743157894736842,,1.3815789473684206,1.0447368421052632,1.2957894736842108,1.5,1.14,1.126315789473684,1.1868421052631577,,1.02,1.02,1.3905263157894736,3.8136842105263162,1.3,1.533684210526316,1.0452631578947367,1.2763157894736843,1.1000000000000003,1.55,1.3531578947368423,1.1299999999999997,1.45,1.7436842105263155,3.2700000000000005,4.599999999999999,1.0100000000000002,1.0100000000000002,1.9368421052631575,1.3594736842105264
2023-09-30,2.68,,1.33,1.03,1.28,1.63,1.14,1.06,1.15,,1.02,1.02,1.43,3.34,1.3,1.6000000000000003,1.06,1.3,1.1,1.55,1.3500000000000003,1.13,1.3966666666666667,1.72,3.27,4.6,1.01,1.01,1.9400000000000002,1.32
